Unnamed: 0.2,A_ID,B_ID,preA_ID,preB_ID,symbol,Protein_A,Protein_B,model_1_multimer_score(iptm+ptm),model_1_multimer_score(iptm),model_1_multimer_score(ptm),A template,B template,symbol_r
10,O75531,P18847,BANF1,ATF3,P18847__O75531,P18847,O75531,0.1900000047683716,0.15000000596046448,0.35,"['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']","['6urj_A', '7ndy_B', '6ghd_A', '1im4_A', '1im4_A']",O75531__P18847
11,P08123,P42574,COL1A2,CASP3,P08123__P42574,P08123,P42574,0.22999999904632568,0.2199999988079071,0.27,"['6fzw_A', '6fzw_C', '5k31_A', '5k31_C', '6fzv_A', '4ae2_C', '4wmq_B', '6usc_A', '3bvh_E', '3e1i_B', '1fzc_E', '1lwu_E', '1m1j_B', '1deq_B', '3ghg_H', '6u1u_A', '6eua_A', '6eua_C']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']",P42574__P08123
12,P68871,P49715,HBB,CEBPA,P49715__P68871,P49715,P68871,0.1639999978542328,0.11999999731779099,0.34,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['1v4w_D', '1v4x_B', '3eok_B', '6zmx_B', '2z6n_B', '2h8f_D', '4g51_D', '6iyi_B', '4mqj_F', '2r1h_D', '3bom_B', '6iyh_B', '1out_B', '2w72_B', '3bcq_C', '1jeb_C', '3w4u_C', '1wmu_A', '2z6n_A', '1hbr_C']",P68871__P49715
13,P11413,P49715,G6PD,CEBPA,P49715__P11413,P49715,P11413,0.2640000057220459,0.18000000715255737,0.6,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['6jyu_A', '7e6h_A', '7e6i_A', '1h9a_A', '1e7y_A', '1dpg_B', '5aq1_B', '4lgv_C', '3i23_A', '3cea_A', '3e82_A', '3e82_D']",P11413__P49715
14,Q12770,P18847,SCAP,ATF3,Q12770__P18847,Q12770,P18847,0.17999999618530277,0.12999999523162842,0.38,"['7etw_B', '6w5r_A', '5u74_A', '5u73_A', '6v3f_A', '7dfw_A', '6r4l_A', '7rhr_A', '6g6m_A', '6y7n_B', '6g6o_C', '7lkh_A', '2ovr_B', '5v4b_B', '6m49_B', '2ymu_B', '6g6m_A', '6y7n_B', '6g6o_C', '5v4b_B']","['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']",P18847__Q12770
15,Q9NSU2,P18847,TREX1,ATF3,Q9NSU2__P18847,Q9NSU2,P18847,0.18000000119209292,0.10000000149011612,0.5,"['3u3y_A', '3u3y_B', '5ywt_B', '5ywu_B', '3mxm_B', '2oa8_B', '6a47_A', '1y97_A', '5m1s_D', '4js4_A', '2gui_A', '3hl8_A', '2f96_B', '2qxf_A', '2p1j_B', '2xy8_A', '2p1j_A', '4rg8_A', '4fzx_C', '4fzy_A']","['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']",P18847__Q9NSU2
16,O00469,P23769,PLOD2,GATA2,P23769__O00469,P23769,O00469,0.2959999990463257,0.2199999988079071,0.6,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['6fxr_A', '6tec_A', '6wfv_A', '6ax6_B', '6ax7_A', '3zf8_A', '6yv8_A', '6yv9_B', '6yv7_B', '5c5t_A', '5c5u_B', '5c5u_A', '5v7y_A', '5v7y_B', '3itq_A', '3dkq_A', '2jig_A', '2jig_B', '6iuq_B', '2v4a_B']",O00469__P23769
17,P63104,P01106,YWHAZ,MYC,P63104__P01106,P63104,P01106,0.2759999957084656,0.23999999463558197,0.42,"['3iqu_A', '3p1r_A', '3ubw_A', '2br9_A', '3ual_A', '6eih_A', '4f7r_A', '4zq0_B', '6tlg_A', '7nfw_A', '2npm_A', '3efz_B', '2o8p_A', '3efz_A']","['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nlw_A', '1nkp_B', '6g6k_B', '6g6j_B', '2ypa_A', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']",P01106__P63104
18,Q96BQ5,P01106,CCDC127,MYC,P01106__Q96BQ5,P01106,Q96BQ5,0.11799999856948853,0.07999999821186066,0.27,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']",[],Q96BQ5__P01106
19,O15460,P23769,P4HA2,GATA2,O15460__P23769,O15460,P23769,0.4319999971389771,0.4099999964237213,0.52,"['4bt9_B', '4bt9_A', '4btb_A', '5v7y_A', '5v7y_B', '3itq_A', '2jig_A', '2jig_B', '5c5u_A', '5c5u_B', '5c5t_A', '2v4a_B', '6tp5_A', '6tp5_B', '4iw3_A', '4j25_B', '2v5f_A', '1tjc_A', '6evn_A', '6evo_A']","['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']",P23769__O15460
20,P63167,P10242,DYNLL1,MYB,P10242__P63167,P10242,P63167,0.264,0.25,0.32,"['6id0_L', '6id1_L', '1h88_C', '5wsg_c', '7dco_L', '5gmk_c', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '6id0_L', '6id1_L', '1h8a_C', '3jb9_W']","['1pwj_A', '7k58_H', '7n9f_t', '5e0l_A', '2xqq_A', '7k58_L', '7k5b_L', '4ds1_C', '7kzm_H', '7kek_J', '7k58_M', '5fwz_A', '5x2d_B', '7k58_J', '7kzm_P', '7k58_K', '7kzn_H', '7kzn_P', '7k58_I']",P63167__P10242
21,P0C7P0,P40763,CISD3,STAT3,P40763__P0C7P0,P40763,P0C7P0,0.23199999618530276,0.12999999523162842,0.64,"['1yvl_B', '6ux2_A', '1bg1_A', '4e68_A', '6njs_A', '7nuf_A', '1y1u_B', '6mbz_A', '5d39_A', '4y5u_A', '1uus_A', '1uur_A', '6wcz_A', '5oen_B', '4zia_D', '3wwt_A', '1bgf_A', '4zia_C', '6amw_A', '2cs0_A']","['6avj_C', '6z1p_AV', '3tbn_A', '3tbo_A', '3fnv_B', '4ezf_A', '4oo7_B', '4ooa_A', '3tbm_A', '3s2r_B']",P0C7P0__P40763
22,P42330,P15336,AKR1C3,ATF2,P15336__P42330,P15336,P42330,0.21599999713897705,0.1599999964237213,0.44,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['1s1p_A', '3cv6_A', '4xo6_A', '3buv_A', '1afs_A', '3g1r_B', '3ln3_A', '6m7k_A', '4hbk_A', '3qkz_A', '3o3r_A', '4jir_A', '3wcz_A', '1us0_A', '2i16_A', '5ket_B', '5ket_A', '1mi3_C', '4gac_A', '4gie_A']",P42330__P15336
23,P04279,P42574,SEMG1,CASP3,P04279__P42574,P04279,P42574,0.3879999885559082,0.38999998569488525,0.38,[],"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']",P42574__P04279
24,P30044,P01106,PRDX5,MYC,P30044__P01106,P30044,P01106,0.15199999952316284,0.10999999940395355,0.32,"['2wfc_A', '5k2j_L', '5k2i_B', '2pwj_E', '5j9c_B', '5j9c_A', '2xhf_A', '2xhf_B', '3mng_A', '3uma_C', '3uma_B', '1hd2_A', '1tp9_B', '4f82_A', '5ovq_C', '1nm3_A', '1nm3_B', '5ovq_L', '7kiz_H', '4kw6_D']","['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nlw_A', '1nkp_B', '6g6k_B', '6g6j_B', '2ypa_A', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']",P01106__P30044
25,P31947,P10242,SFN,MYB,P31947__P10242,P31947,P10242,0.18000000047683717,0.14000000059604645,0.34,"['3p1r_A', '3iqu_A', '3ubw_A', '2br9_A', '3ual_A', '6eih_A', '4f7r_A', '6tlg_A', '7nfw_A', '4zq0_B', '2npm_A', '3efz_B', '2o8p_A', '3efz_A']","['6id0_L', '6id1_L', '1h88_C', '5gmk_c', '5wsg_c', '7dco_L', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '1h8a_C', '3jb9_W', '7dco_L', '6id0_L']",P10242__P31947
26,Q96QA5,Q9Y2D1,GSDMA,ATF5,Q96QA5__Q9Y2D1,Q96QA5,Q9Y2D1,0.2039999978542328,0.11999999731779099,0.54,"['5b5r_A', '6n9n_A', '6vie_C', '6n9o_C', '6n9o_A', '6cb8_A', '6vfe_S', '5nh1_A', '6ao3_A', '6ao3_B', '6kmv_L', '6kn0_E', '5tj4_E', '5tib_B']","['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']",Q9Y2D1__Q96QA5
27,P42330,P01100,AKR1C3,FOS,P42330__P01100,P42330,P01100,0.2200000047683716,0.15000000596046448,0.5,"['1s1p_A', '3cv6_A', '4xo6_A', '3buv_A', '1afs_A', '3g1r_B', '3ln3_A', '6m7k_A', '4hbk_A', '3qkz_A', '3o3r_A', '4jir_A', '3wcz_A', '1us0_A', '2i16_A', '5ket_B', '5ket_A', '1mi3_C', '4gac_A', '4gie_A']","['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']",P01100__P42330
28,Q9P2J5,P23769,LARS1,GATA2,Q9P2J5__P23769,Q9P2J5,P23769,0.2540000047683716,0.15000000596046448,0.67,"['6lpf_B', '6kie_A', '1wz2_A', '1wkb_A', '7d5c_A', '1qu2_A', '1jzq_A', '1jzs_A', '1gax_B', '1ivs_A', '6ldk_A', '2bte_D', '2v0c_A', '3zgz_D', '6q89_A', '6ykq_A', '5ah5_A', '5ah5_B', '4arc_A', '2wfd_B']","['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']",P23769__Q9P2J5
29,P14866,P49715,HNRNPL,CEBPA,P49715__P14866,P49715,P14866,0.16799999618530276,0.12999999523162842,0.32,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['6r5k_H', '6r5k_H', '6r5k_H', '4qpt_A', '2mju_A', '6n7p_F', '7dvq_4', '6r5k_H', '4cq1_B', '7dvq_4', '4f02_A', '1cvj_A', '1cvj_B', '2mju_A', '6y53_o', '6y53_o', '2adc_A', '6n7p_F', '6n7p_F', '7dvq_4']",P14866__P49715
30,Q14192,P04626,FHL2,ERBB2,P04626__Q14192,P04626,Q14192,0.2040000004768372,0.14000000059604645,0.46,"['7mn5_B', '7mn8_B', '7sz0_B', '7syd_A', '7mn6_A', '7mn5_A', '6j71_A', '3qwq_A', '3njp_B', '4uv7_A', '2ahx_B', '2ahx_A', '4leo_C', '3u7u_D', '4p59_A', '1m6b_B', '5my6_A', '3wsq_A', '2a91_A', '3p11_A']","['1rut_X', '2jtn_A', '1rut_X', '3mmk_B', '1rut_X', '2jtn_A', '2ypa_C', '4jcj_B', '4jcj_C', '7lt9_B', '6cme_A', '2jtn_A', '7d2t_D', '4kfz_B', '3mmk_B', '2xqn_T', '2xjy_A', '3mmk_B', '6cme_A', '7lt9_B']",Q14192__P04626
31,O75342,P10242,ALOX12B,MYB,O75342__P10242,O75342,P10242,0.23999999713897707,0.1599999964237213,0.56,"['4nre_A', '3o8y_A', '3v98_B', '7laf_B', '3vf1_B', '3fg1_D', '3fg3_A', '3fg3_C', '2p0m_B', '3dy5_C', '4wfo_A', '1yge_A', '3rde_C', '5mef_A', '5med_B', '5lc8_A', '5ir4_A', '3d3l_A', '6ns4_A', '6ns4_B']","['6id0_L', '6id1_L', '1h88_C', '5wsg_c', '7dco_L', '5gmk_c', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '6id0_L', '6id1_L', '1h8a_C', '3jb9_W']",P10242__O75342
32,Q9H936,P01106,SLC25A22,MYC,P01106__Q9H936,P01106,Q9H936,0.22600000572204593,0.18000000715255737,0.41,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['6gci_A', '4c9h_B', '2lck_A', '4c9g_A', '1okc_A', '2c3e_A', '6gci_A', '6gci_A', '1okc_A', '2c3e_A', '2lck_A', '2lck_A', '4c9h_B', '4c9g_A', '4c9h_B', '4c9g_A', '1okc_A', '2c3e_A', '1okc_A', '2c3e_A']",Q9H936__P01106
33,P28072,P10242,PSMB6,MYB,P28072__P10242,P28072,P10242,0.16399999618530275,0.12999999523162842,0.3,"['5l4g_Z', '5ln3_1', '4x6z_L', '6tu3_Z', '6msh_R', '5l4g_5', '3nzj_K', '6e5b_Y', '6qm7_Z', '6qm8_Z', '5l4g_8', '6msd_O', '6tu3_I', '5le5_b', '6tu3_H', '6r70_H', '6htd_H', '7b12_H', '7awe_V', '5vfr_N']","['6id0_L', '6id1_L', '1h88_C', '5gmk_c', '5wsg_c', '7dco_L', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '1h8a_C', '3jb9_W', '7dco_L', '6id0_L']",P10242__P28072
34,Q8NBJ5,P49715,COLGALT1,CEBPA,P49715__Q8NBJ5,P49715,Q8NBJ5,0.2640000057220459,0.18000000715255737,0.6,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['6fxr_A', '6tec_A', '3zf8_A', '2z86_B', '2z86_C', '6yv7_B', '6yv8_A', '6yv9_B', '2z87_A', '2z86_B', '2z86_C', '2z87_A', '5hea_B', '5hec_A', '5tzj_A', '5tzj_C', '5tzk_C', '5tz8_B', '5tz8_C', '6p61_A']",Q8NBJ5__P49715
35,O00560,P15336,SDCBP,ATF2,O00560__P15336,O00560,P15336,0.17199999618530276,0.12999999523162842,0.34,"['5g1e_A', '5g1d_B', '4z33_A', '2xkx_A', '2xkx_B', '1w9e_B', '1u3b_A', '2xkx_A', '2xkx_B', '1p1d_A', '4a8c_J', '4a9g_K', '3ou0_A', '6jjk_B', '1ky9_B', '2qt5_A', '4wyu_A', '4wyu_B', '6ird_C', '3suz_A']","['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']",P15336__O00560
36,Q96P63,P10242,SERPINB12,MYB,Q96P63__P10242,Q96P63,P10242,0.18799999618530275,0.12999999523162842,0.42,"['3kcg_I', '1att_A', '6kga_C', '4ga7_A', '1ova_A', '7pmu_A', '4ga7_B', '4zk0_A', '1uhg_C', '4zk3_A', '3nda_A', '2arq_A', '2arr_A', '5hgc_A', '1yxa_A', '1yxa_B', '5cdz_A', '1hle_A', '2h4p_A', '2h4q_A']","['6id0_L', '6id1_L', '1h88_C', '5gmk_c', '5wsg_c', '7dco_L', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '1h8a_C', '3jb9_W', '7dco_L', '6id0_L']",P10242__Q96P63
37,Q9NTX5,P01100,ECHDC1,FOS,P01100__Q9NTX5,P01100,Q9NTX5,0.18799999785423283,0.11999999731779099,0.46,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['3pea_C', '3kqf_C', '6sl9_AAA', '3h81_C', '4fzw_D', '4fjw_D', '5zai_C', '5zai_F', '4fzw_C', '3moy_A', '5z7r_C', '6lvp_A', '2pbp_A', '2qq3_C', '1ey3_B', '1mj3_E', '7eum_A', '5xzd_A', '5xzd_C', '7eum_B']",Q9NTX5__P01100
38,P63151,P18847,PPP2R2A,ATF3,P18847__P63151,P18847,P63151,0.24800000047683718,0.14000000059604645,0.68,"['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']","['3dw8_E', '5mzh_B', '5nnz_A', '5nnz_B', '2ymu_B', '2ymu_B', '5mzh_B', '6t9i_D', '2ymu_B', '4wju_B', '6ft6_x', '6ft6_x', '6e1z_B', '6ujh_B', '6u8b_A', '5yzv_C', '4wjv_D', '4lg9_A', '4wjs_A', '5m23_A']",P63151__P18847
39,Q14847,P49716,LASP1,CEBPD,P49716__Q14847,P49716,Q14847,0.14599999618530274,0.12999999523162842,0.21,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']","['2lzu_A', '2d8y_A', '1ctl_A', '1iml_A', '2cu8_A', '2o13_A', '5nvj_B', '5nxj_B', '1udl_A']",Q14847__P49716
40,P12814,P49715,ACTN1,CEBPA,P49715__P12814,P49715,P12814,0.1959999978542328,0.11999999731779099,0.5,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['1sjj_A', '4d1e_A', '6sl3_A', '6sl2_A', '7ank_A', '1hci_A', '7a8t_A', '4d1e_A', '7ank_B', '1hci_A', '7a8t_A', '4z6g_A', '1sjj_A', '1sjj_A', '4d1e_A', '1hci_A', '7a8t_A', '1quu_A', '7aw8_A', '6swt_A']",P12814__P49715
